OK   PIIA_TYPOLOGIE_IMMEUBLEMIXTE_0.PDF (20151123041612, try 1, 99351 bytes)
OK   PIIA_TYPOLOGIE_INTRO.PDF (20171118081856, try 1, 34194 bytes)
OK   PIIA_TYPOLOGIE_IMMEUBLEAPPARTEMENTS_0.PDF (20180712145501, try 1, 110473 bytes)
OK   PIIA_TYPOLOGIE_DUPLEX_0.PDF (20220619221614, try 1, 289609 bytes)
OK   PIIA_TYPOLOGIE_TRIPLEX_0.PDF (20220619221624, try 1, 110497 bytes)
OK   PIIA_TYPOLOGIE_MAISONFAUBOURG_0.PDF (20220619221627, try 1, 96732 bytes)
OK   PIIA_TYPOLOGIE_IMMEUBLECOMMERCIAL_3.PDF (20220619221649, try 1, 78283 bytes)
OK   PIIA_TYPOLOGIE_MAISONURBAINE_0.PDF (20220621015250, try 1, 272447 bytes)
OK   PIIA_FASCICULE_4.PDF (20250516020114, try 1, 92138 bytes)
