ID_FICHE,CAT_BISSON,TYPE_CAT_BISSON,ADRESSE,TYPE_VOIE,NOM_VOIE,NOM_INDICATIF,STATUT_INV_PRE_40_2025,DEMOLI,LIEN_FTP,LNG,LAT
1_026,1,Bâtiment remarquable,1555-1555 avenue Bernard,avenue,Bernard,maison Joseph-Zéphirin-Gauthier,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1555_avenue_bernard_CAT_1.pdf,-73.6124688,45.5162351
1_027,1,Bâtiment remarquable,1559-1559 avenue Bernard,avenue,Bernard,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1559_avenue_bernard_CAT_1.pdf,-73.6125038,45.516176
1_015,1,Bâtiment remarquable,1180-1180 avenue Bernard,avenue,Bernard,magasin Steinberg,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1172_88_avenue_bernard_CAT_1.pdf,-73.60782411134,45.5206583
1_016,1,Bâtiment remarquable,1240-1248 avenue Bernard,avenue,Bernard,théâtre Outremont,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1234_48_avenue_bernard_CAT_1.pdf,-73.6084419242265,45.5199675237778
1_028,1,Bâtiment remarquable,150-150 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/150_avenue_bloomfield_CAT_1.pdf,-73.5996086,45.5166017
1_029,1,Bâtiment remarquable,170-170 avenue Bloomfield,avenue,Bloomfield,maison P.-G.-Brown,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/170_avenue_bloomfield_CAT_1.pdf,-73.6000699,45.5167544
1_030,1,Bâtiment remarquable,192-192 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/192_avenue_bloomfield_CAT_1.pdf,-73.6003156,45.5169463
1_031,1,Bâtiment remarquable,196-196 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/196_avenue_bloomfield_CAT_1.pdf,-73.6003958,45.5169769
1_032,1,Bâtiment remarquable,215-235 avenue Bloomfield,avenue,Bloomfield,académie Querbes,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/215_35_avenue_bloomfield_CAT_1.pdf,-73.6008434,45.5175921
1_033,1,Bâtiment remarquable,249-249 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/249_avenue_bloomfield_CAT_1.pdf,-73.6016254,45.5179034
1_034,1,Bâtiment remarquable,253-253 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/253_avenue_bloomfield_CAT_1.pdf,-73.6017119,45.5179276
1_035,1,Bâtiment remarquable,257-257 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/257_avenue_bloomfield_CAT_1.pdf,-73.601842,45.5179848
1_036,1,Bâtiment remarquable,258-258 avenue Bloomfield,avenue,Bloomfield,maison Madame W.-Bessette,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/258_avenue_bloomfield_CAT_1.pdf,-73.6022962,45.5176009
1_037,1,Bâtiment remarquable,261-261 avenue Bloomfield,avenue,Bloomfield,maison Lionel-Groulx,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/261_avenue_bloomfield_CAT_1.pdf,-73.6019726,45.5179636
1_038,1,Bâtiment remarquable,262-262 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/262_avenue_bloomfield_CAT_1.pdf,-73.6024257,45.5176509
1_039,1,Bâtiment remarquable,345-345 avenue Bloomfield,avenue,Bloomfield,maison Aristide-Beaugrand-Champagne,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/345_avenue_bloomfield_CAT_1.pdf,-73.603728,45.5187172
1_040,1,Bâtiment remarquable,381-381 avenue Bloomfield,avenue,Bloomfield,maison Madame Oscar-Amiot,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/381_avenue_bloomfield_CAT_1.pdf,-73.6043787,45.51904
1_041,1,Bâtiment remarquable,474-474 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/474_76_avenue_bloomfield_CAT_1.pdf,-73.6061382721558,45.5193452539184
1_042,1,Bâtiment remarquable,478-480 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/478_80_avenue_bloomfield_CAT_1.pdf,-73.606293,45.519397
1_043,1,Bâtiment remarquable,482-484 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/482_84_avenue_bloomfield_CAT_1.pdf,-73.6063918,45.5194442
1_044,1,Bâtiment remarquable,486-488 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/486_88_avenue_bloomfield_CAT_1.pdf,-73.6065087,45.5195009
1_045,1,Bâtiment remarquable,490-492 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/490_92_avenue_bloomfield_CAT_1.pdf,-73.6066089,45.5195399
1_046,1,Bâtiment remarquable,494-496 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/494_96_avenue_bloomfield_CAT_1.pdf,-73.6067343,45.5195969
1_047,1,Bâtiment remarquable,500-500 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/500_avenue_bloomfield_CAT_1.pdf,-73.6068182,45.5196374
1_048,1,Bâtiment remarquable,504-506 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/504_06_avenue_bloomfield_CAT_1.pdf,-73.6069538,45.5196926
1_049,1,Bâtiment remarquable,508-508 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/508_avenue_bloomfield_CAT_1.pdf,-73.6070377,45.5197304
1_050,1,Bâtiment remarquable,512-514 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/512_14_avenue_bloomfield_CAT_1.pdf,-73.6071691,45.5197869
1_051,1,Bâtiment remarquable,516-518 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/516_18_avenue_bloomfield_CAT_1.pdf,-73.6072594,45.5198261
1_052,1,Bâtiment remarquable,520-520 avenue Bloomfield,avenue,Bloomfield,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/520_avenue_bloomfield_CAT_1.pdf,-73.6073721,45.5198774
1_053,1,Bâtiment remarquable,530-525 avenue Bloomfield,avenue,Bloomfield,chalet du parc Saint-Viateur,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/525_avenue_bloomfield_CAT_1.pdf,-73.6068742,45.5204376
1_054,1,Bâtiment remarquable,755-755 avenue Bloomfield,avenue,Bloomfield,appartements The Parisian (édifice sud),Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/755_avenue_bloomfield_CAT_1.pdf,-73.6117006,45.5222695
1_055,1,Bâtiment remarquable,757-757 avenue Bloomfield,avenue,Bloomfield,appartements The Parisian (édifice nord),Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/757_avenue_bloomfield_CAT_1.pdf,-73.6118283,45.5223324
1_057,1,Bâtiment remarquable,406-410 avenue Champagneur,avenue,Champagneur,maison Joseph-Amédé-Thérien,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/406_10a_avenue_champagneur_CAT_1.pdf,-73.6059767,45.5183835
1_059,1,Bâtiment remarquable,426-426 avenue Champagneur,avenue,Champagneur,maison Madame A.-Roy,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/426_avenue_champagneur_CAT_1.pdf,-73.6063105,45.5185105
1_060,1,Bâtiment remarquable,550-550 avenue Champagneur,avenue,Champagneur,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/550_avenue_champagneur_CAT_1.pdf,-73.6078999,45.5191943
1_061,1,Bâtiment remarquable,554-554 avenue Champagneur,avenue,Champagneur,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/554_avenue_champagneur_CAT_1.pdf,-73.60798,45.519224
1_062,1,Bâtiment remarquable,22-22 avenue Claude-Champagne,avenue,Claude-Champagne,maison I.-Préfontaine,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/22_avenue_claude_champagne_CAT_1.pdf,-73.611803407564,45.512637803214
1_095,1,Bâtiment remarquable,505-505 avenue Davaar,avenue,Davaar,maison K.-M.-Ramsey,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/505_avenue_davaar_CAT_1.pdf,-73.6106134,45.5144831
1_082,1,Bâtiment remarquable,543-543 chemin de la Côte-Sainte-Catherine,chemin,Côte-Sainte-Catherine,hôtel-de-ville d'Outremont (église presbytérienne d'Outremont),Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/530_avenue_davaar_CAT_1.pdf,-73.6114436153198,45.5147024740131
