localite,immeubles_retenus,date_adoption,sans_date,fichier,octets,sha256,url
Dorval,204,2024-11-13,0,drv_imm_adopte_pre1940_s.geojson,297144,a9e98cadc5eaba20003120a3507ce4d4fa9f95603a4b3dd7fb827b3124a5228a,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/299329e9-1655-4e7b-891b-e11f66a0fbc0/download/drv_imm_adopte_pre1940_s.geojson
Montréal-Est,153,,153,mte_imm_adopte_pre1940_s.geojson,194052,9c1c23853bc7d7bec94234b3e9291967276e33fbf866e27804619c52ed14f16d,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/87097bc4-db78-40fe-89df-ef3eb848adc8/download/mte_imm_adopte_pre1940_s.geojson
Beaconsfield,131,2024-11-21,0,bcf_imm_adopte_pre1940_s.geojson,210287,7203936ada359367c95a74031e503858ac87baa7166c6614ca3e297a69b6c784,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/a3d5041a-0c50-4038-bacd-7395caa701a0/download/bcf_imm_adopte_pre1940_s.geojson
Senneville,127,2024-12-19,0,sen_imm_adopte_pre1940_s.geojson,218728,a69210b34b68e79edb574a73ca2073fc31a7a6a48045eae0f638562e31bc2d95,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/09402f78-836b-414b-affc-f2aee5aca46a/download/sen_imm_adopte_pre1940_s.geojson
Pierrefonds - Roxboro,119,,119,prf_imm_adopte_pre1940_s.geojson,196415,a9726f13319d3b6bf7725e29b57eca82ed6c66cb554a9d438525813d8379c0e4,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/27da6c8f-b186-4934-bb3a-305f1c4efd0c/download/prf_imm_adopte_pre1940_s.geojson
Baie-d'Urfé,48,2024-11-21,0,bdu_imm_adopte_pre1940_s.geojson,82840,6659dd0a62e3740aab067006c196dbe05832a39bb61fbf3d480cfca4243ae3cf,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/34bd0663-1a6e-4055-a064-48daafde4c43/download/bdu_imm_adopte_pre1940_s.geojson
Côte Saint-Luc,45,2024-10-24,0,csl_imm_adopte_pre1940_s.geojson,55596,77a532ca274bf7e26a3feab50adc2439e6bd78a6ff2f35416ce9191ef41f895a,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/ff00f49a-844e-4e2d-8deb-0b280d3feeb2/download/csl_imm_adopte_pre1940_s.geojson
L'Île-Dorval,38,,38,idv_imm_adopte_pre1940_s.geojson,42568,5cac4e61b6a309aed5b98ce0c5be3ef5a32fe748e2e2b3c5a60018603b1be46f,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/4b4606d1-d0fa-4bb6-b301-98733d7a3887/download/idv_imm_adopte_pre1940_s.geojson
Saint-Léonard,12,,12,sle_imm_adopte_pre1940_s.geojson,22953,3abb4c0beede558975d0a205339fabea5b0aecbf4698e1b01310e063f9e97151,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/4756823a-ac2a-4f36-a7d0-21b505a6dccd/download/sle_imm_adopte_pre1940_s.geojson
Anjou,3,2024-10-24,0,anj_imm_adopte_pre1940_s.geojson,3935,ad4a6a5faa6444d65d8eca21611430448191b6c99bd175677ff7158e9bec9992,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/e6873502-b376-48fd-8b2c-a8edbe67a0d4/download/anj_imm_adopte_pre1940_s.geojson
Dollard-des-Ormeaux,3,2023-05-18,0,ddo_imm_adopte_pre1940_s.geojson,3597,5b9a14e75412c4e846d8500956d73f726045e9801127ea6f8831228608b6607c,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/4103029d-4490-4371-b86f-3e66753df7bd/download/ddo_imm_adopte_pre1940_s.geojson
Kirkland,2,2023-05-18,0,krk_imm_adopte_pre1940_s.geojson,2718,9e1534ba14962c075d63d81ee468efdcf0b0fee08b30f4dfa0b13734e1b97778,https://donnees.montreal.ca/dataset/25229b69-4d29-4ef7-a3b5-38e571c19cbc/resource/ba4ad2c9-82c6-4270-ab0c-f89ae857f090/download/krk_imm_adopte_pre1940_s.geojson
